chemistry,reaction_degree,stability_score,dominance_frequency,novelty_rate,reaction_entropy,fragility_index,takeover_probability
P1+P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P3,1.4834710743801653,1.0,1.0,0.0,0.6108544419868377,0.0,0.0
P1+P4,1.487704918032787,1.0,1.0,0.0,0.6087146977677358,0.0,0.0
P1+P5,2.0,1.0,1.0,0.0,-2.8853903190734774e-09,0.0,0.0
P1+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3+P4,1.5068027210884354,0.8325636205223534,0.0,0.0,0.6203394623963423,0.16743637947764653,0.047619047619047616
P3+P5,2.6926406926406927,0.2951541850220264,0.0,0.0,0.3669755430510974,0.7048458149779736,0.23376623376623376
P3+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4+P5,2.0,1.0,0.0,0.0,-2.8853903190734774e-09,0.0,0.4423076923076923
P4+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P3+P4,1.4834710743801653,1.0,1.0,0.4669421487603306,0.6108544419868377,0.0,0.0
P1+P3+P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P3+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P4+P5,2.0,1.0,1.0,1.0,-2.8853903190734774e-09,0.0,0.0
P1+P4+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P3+P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P3+P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P3+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P4+P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P4+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3+P4+P5,2.0,1.0,0.0,1.0,-2.8853903190734774e-09,0.0,0.4117647058823529
P3+P4+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P3+P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P3+P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P3+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P4+P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P4+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P3+P4+P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P3+P4+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P3+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P4+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P3+P4+P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P3+P4+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P3+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P4+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3+P4+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
