chemistry,reaction_degree,stability_score,dominance_frequency,novelty_rate,reaction_entropy,fragility_index,takeover_probability
P1+P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P3,1.1986754966887416,1.0,1.0,0.0,0.5128602148539836,0.0,0.0
P1+P4,1.2013201320132012,1.0,1.0,0.0,0.5152226249095466,0.0,0.0
P1+P5,2.0,1.0,1.0,0.0,-2.8853903190734774e-09,0.0,0.0
P1+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P4,2.0,1.0,1.0,0.0,0.8631205642385458,0.0,0.0
P2+P5,2.2,1.0,1.0,0.0,0.46438561464938705,0.0,0.0
P2+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3+P4,1.235204855842185,0.566291678945043,0.0,0.0,0.5600744066511294,0.433708321054957,0.021244309559939303
P3+P5,2.6939655172413794,0.49515418502202646,0.0,0.0,0.36576431825418093,0.5048458149779735,0.23275862068965517
P3+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4+P5,2.0125,0.8666666666666667,0.0,0.0,0.07902409685800674,0.13333333333333333,0.43125
P4+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P3+P4,1.1986754966887416,1.0,1.0,0.19039735099337748,0.5128602148539836,0.0,0.0
P1+P3+P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P3+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P4+P5,2.0,1.0,1.0,1.0,-2.8853903190734774e-09,0.0,0.0
P1+P4+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P3+P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P3+P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P3+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P4+P5,2.2,1.0,1.0,1.0,0.46438561464938705,0.0,0.0
P2+P4+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3+P4+P5,2.0285714285714285,0.8,0.0,1.0,0.14655093901319943,0.2,0.4
P3+P4+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P3+P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P3+P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P3+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P4+P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P4+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P2+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P3+P4+P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P3+P4+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P3+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1+P4+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P3+P4+P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P3+P4+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P3+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2+P4+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3+P4+P5+P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
