timestamp,component,variance_ratio,avg_k_eff,min_k_eff,status
2026-03-02T20:38:31.296103,0,0.36198848099926334,1.0,1.0,COMPRESSED
2026-03-02T20:38:32.068901,1,0.19207490257008938,1.0,1.0,COMPRESSED
2026-03-02T20:38:33.010632,2,0.11123630536249987,1.0,1.0,COMPRESSED
2026-03-02T20:38:33.989180,3,0.0706903018271403,1.0,1.0,COMPRESSED
2026-03-02T20:38:34.940245,4,0.06563293679648599,1.0,1.0,COMPRESSED
2026-03-02T20:38:35.918922,5,0.049358233192225695,1.0,1.0,COMPRESSED
2026-03-02T20:38:36.860112,6,0.04238679322623316,1.0,1.0,COMPRESSED
2026-03-02T20:38:37.788826,7,0.026807489483788662,1.0,1.0,COMPRESSED
2026-03-02T20:38:38.658525,8,0.02222153404789712,1.0,1.0,COMPRESSED
2026-03-02T20:38:39.510171,9,0.01930019093944076,1.0,1.0,COMPRESSED
2026-03-02T20:38:40.354923,10,0.01736835689989913,1.0,1.0,COMPRESSED
2026-03-02T20:38:41.179383,11,0.012982325756042098,1.0,1.0,COMPRESSED
2026-03-02T20:38:42.036309,12,0.007952148898994496,1.0,1.0,COMPRESSED
