Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0Zw4llKeB35SIKASy1aLtV,"Eple","Melody AM","Röyksopp",2001-08-22,218320,0,false,,2012-11-13T10:50:33Z,"downtempo,electronica,trip hop","Parlophone (France)",0.68,0.849,6,-5.295,1,0.0444,0.00746,0.0694,0.108,0.806,106.486,4
spotify:track:7L75ur0L2lJUcYAdC2BVZE,"Stringz Ultd. (Shelley Mix)","In Search Of Sunrise 3 - Panama","Chiller Twist",2002,569074,0,false,1255623537,2012-12-23T07:54:00Z,"progressive trance,trance","Songbird",0.535,0.848,5,-9.664,0,0.0272,0.00133,0.957,0.123,0.289,135.699,4
spotify:track:3p21rqxlzsufwHwfog56fh,"Tales From The South (Jonas Steur's Revision Flow)","In Search Of Sunrise 5 - Los Angeles","Estuera",2006,596680,0,false,1255623537,2012-12-23T07:55:02Z,"progressive trance,trance","Songbird",0.596,0.769,9,-10.08,0,0.0368,0.00261,0.916,0.0972,0.313,137.997,4
spotify:track:67e73Tba9MNb5LOsmIcg6x,"Green Astronauts","In Search Of Sunrise 5 - Los Angeles","A Boy Called Joni",2006,561426,0,false,1255623537,2012-12-23T07:55:12Z,"progressive trance,trance","Songbird",0.632,0.87,0,-9.485,1,0.051,0.0139,0.854,0.122,0.551,131.994,4
spotify:track:4ilxCIvCVtBppVykx9UDaX,"Save You","Riot Act","Pearl Jam",2002-11-11,230160,40,true,1255623537,2013-04-18T19:32:25Z,"grunge,rock,post-grunge","Epic",0.298,0.947,4,-6.583,0,0.0637,0.0205,0.000408,0.223,0.558,161.817,4
spotify:track:4bhRpJFjqBbFGifyDF8YCV,"Still I Wait (Richard Durand’s In Search of Sunrise Remix)","In Search of Sunrise 10 - Australia","Jonas Steur;Jennifer Rene;Richard Durand",2012-06-18,435781,0,false,1255623537,2013-07-07T03:52:58Z,"trance,progressive trance","Songbird",0.786,0.731,3,-5.597,0,0.0719,0.0282,0.315,0.102,0.393,132.001,4
spotify:track:6Sq4WhSm3mEwCww1nJsWpn,"What Are We Waiting For?","Open","Spooky",2007-06-11,332013,5,false,1255623537,2014-01-25T05:28:36Z,"progressive house,acid house,idm","spooky.uk.com",0.678,0.739,4,-6.48,0,0.0439,0.0297,0.166,0.0946,0.402,96.01,4
spotify:track:1SWpTT4q7W9Gjm7myCgoTB,"Green Astronauts (Niklas Harding Remix)","Green Astronauts","A Boy Called Joni",2005,559413,0,false,1255623537,2014-01-25T05:33:02Z,"progressive trance,trance","Black Hole Recordings",0.576,0.802,7,-10.835,1,0.0666,0.000703,0.909,0.412,0.592,132.028,4
spotify:track:5tqx74V3yDo4aCNpJ7gGg8,"Shelter","Open","Spooky",2007-06-11,348973,3,false,1255623537,2014-01-25T05:33:18Z,"progressive house,acid house,idm","spooky.uk.com",0.766,0.523,1,-6.816,0,0.0481,0.00698,0.445,0.057,0.433,100.012,4
spotify:track:31m9YGS0ie5vvaBfOCrL0p,"Graines D'Etoiles","Live à l'Olympia","Emilie Simon",2007-01-01,213653,3,false,1255623537,2014-02-19T04:11:54Z,"french pop,french jazz,trip hop","Universal Music Division Barclay",0.564,0.876,2,-6.636,0,0.0583,0.00456,0.817,0.94,0.472,77.005,3
spotify:track:3QKKk5ItoyKlKbulJIBNlO,"Café Noir - orginal","la vie du lounge","AKMusique",2009-07-01,293146,0,false,1255623537,2014-02-19T04:12:12Z,"lounge","Little MarVin Records",0.519,0.474,7,-13.152,0,0.0484,0.949,0.633,0.107,0.155,151.939,4
spotify:track:6ntOpwIzPycf336byHBWgE,"Night City Journey - Cassady Locke Remix","Night City Journey","Haldo",2009-11-23,500958,0,false,1255623537,2014-02-19T04:12:49Z,"","Adaptation Music",0.78,0.916,4,-8.132,0,0.048,0.000821,0.846,0.0818,0.768,125.002,4
spotify:track:56F16A3P8UgfG8nkBdUFB8,"Sydney","Panic","Caravan Palace",2012,211680,23,false,1255623537,2014-02-19T04:18:49Z,"electro swing,swing music,nu jazz","Café de la danse",0.588,0.5,11,-8.391,0,0.0336,0.725,0.229,0.0785,0.265,119.027,3
spotify:track:6dXYAMgtO9gW5KUoNdHloE,"Teleportation","Teleportation / Glow","Dirtyphonics",2009-12-14,374972,0,false,1255623537,2014-02-19T04:20:25Z,"dubstep,deathstep,riddim,drumstep,drum and bass,bass music","Audio Porn",0.451,0.932,5,-2.174,1,0.0576,0.0000755,0.794,0.321,0.336,175.062,4
spotify:track:2aAV8orZctvbDvVJnMDlBR,"Never Win","Odyssey","Fischerspooner",2005-01-01,239640,43,false,1255623537,2014-02-19T04:20:41Z,"electroclash,alternative dance,new rave","Capitol Records",0.801,0.544,8,-5.858,1,0.0363,0.000738,0.000363,0.0596,0.783,112.009,4
spotify:track:5z1v4MGnQN69kTjp2zHop1,"Vocé (é o meu amor) - Ralphi's Main Pass","Abstract Latin Journey Mixed by Julius Papp EP2","Various Artists;Baccara",2007-05-15,443333,0,false,1255623537,2014-02-19T04:21:10Z,"disco","Nite Grooves",0.721,0.883,6,-7.94,0,0.0401,0.0631,0.716,0.321,0.88,124.967,4
